STATE,PC_NO,PC_NAME,PC_TYPE,AC_NO,AC_NAME,AC_TYPE,18-19 Male,18-19 Female,18-19 Others,Above 18 Male,Above 18 Female,Above 18 Others,Gender Ratio Roll,Electors with EPIC,Electors with Photo
BIHAR,28,MUNGER,,168,LAKHISARAI,,5507,3703,-1,176182,153035,6,869,294386,329224
BIHAR,40,JAMUI,SC,169,SHEIKHPURA,,2828,2908,1,111498,98146,8,880,198495,209652
BIHAR,39,NAWADA,,170,BARBIGHA,,2514,2513,1,101320,88611,7,875,177585,189937
BIHAR,29,NALANDA,,171,ASTHAWAN,,3838,3313,2,137957,119313,7,865,238597,257254
BIHAR,29,NALANDA,,172,BIHARSHARIF,,4238,4920,6,178600,156437,27,876,311579,335065
BIHAR,29,NALANDA,,173,RAJGIR,SC,3498,4032,2,135075,123871,5,917,238849,258990
BIHAR,29,NALANDA,,174,ISLAMPUR,,3670,2471,0,137998,120802,11,875,241198,258812
BIHAR,29,NALANDA,,175,HILSA,,4304,3633,3,140074,124309,7,887,247053,264390
BIHAR,29,NALANDA,,176,NALANDA,,3911,3518,3,143307,127342,10,889,253007,270628
BIHAR,29,NALANDA,,177,HARNAUT,,4560,3710,2,146144,128781,12,881,257027,274948
BIHAR,28,MUNGER,,178,MOKAMA,,4280,2874,0,130428,108981,5,836,221086,239424
BIHAR,28,MUNGER,,179,BARH,,4653,2802,0,134523,111709,6,830,226569,246240
BIHAR,30,PATNA SAHIB,,180,BAKHTIARPUR,,3784,2040,0,126373,107061,5,847,216881,233441
BIHAR,30,PATNA SAHIB,,181,DIGHA,,4307,2807,1,198457,172898,17,871,313917,364284
BIHAR,30,PATNA SAHIB,,182,BANKIPUR,,2714,1963,1,170135,145536,19,855,258840,308939
BIHAR,30,PATNA SAHIB,,183,KUMHRAR,,3904,2588,2,188722,154718,25,820,261880,336342
BIHAR,30,PATNA SAHIB,,184,PATNA SAHIB,,4007,2525,3,171877,144342,14,840,265819,316236
BIHAR,30,PATNA SAHIB,,185,FATUHA,,3341,1877,1,125988,106880,5,848,210075,232873
BIHAR,31,PATALIPUTRA,,186,DANAPUR,,4401,3113,1,158417,130616,12,825,235480,289065
BIHAR,31,PATALIPUTRA,,187,MANER,,4524,3080,0,147093,126281,7,859,226998,273381
BIHAR,31,PATALIPUTRA,,188,PHULWARI,SC,3874,2198,1,153255,128179,7,836,244810,281457
BIHAR,31,PATALIPUTRA,,189,MASAURHI,SC,5776,5228,5,161629,144458,28,894,287437,306115
BIHAR,31,PATALIPUTRA,,190,PALIGANJ,,3550,2352,1,130167,112526,9,864,216034,242701
BIHAR,31,PATALIPUTRA,,191,BIKRAM,,3734,2370,3,142977,125941,5,881,242306,268937
BIHAR,32,ARRAH,,192,SANDESH,,4004,3718,6,130172,109871,98,844,216299,240141
BIHAR,32,ARRAH,,193,BARHARA,,4397,2212,1,143279,113765,6,794,232170,257050
BIHAR,32,ARRAH,,194,ARRAH,,4101,2268,2,145549,120182,18,826,235800,265750
BIHAR,32,ARRAH,,195,AGIAON,SC,4411,2883,0,123039,101942,4,829,204577,224985
